"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country"
"666",2009,"Audi","S4 Cabriolet","Subcompact Cars",4.2,"Manual 6-spd","8","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,79,10," Germany"
"667",2009,"Audi","S4 Cabriolet","Subcompact Cars",4.2,"Automatic (S6)","8","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,16,79,10," Germany"
"668",2009,"Audi","S5","Subcompact Cars",4.2,"Manual 6-spd","8","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,22,17,84,12," Germany"
"669",2009,"BMW","650ci Convertible","Subcompact Cars",4.8,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,16,82,11," Germany"
"670",2009,"BMW","M3 Convertible","Subcompact Cars",4,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,20,16,84,9," Germany"
"671",2009,"BMW","M3 Convertible","Subcompact Cars",4,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,84,9," Germany"
"672",2009,"BMW","M3 Coupe","Subcompact Cars",4,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,89,11," Germany"
"673",2009,"BMW","M3 Coupe","Subcompact Cars",4,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,89,11," Germany"
"674",2009,"BMW","M6","Subcompact Cars",5,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,13," Germany"
"675",2009,"BMW","M6","Subcompact Cars",5,"Automatic (S7)","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,13," Germany"
"676",2009,"BMW","M6 Convertible","Subcompact Cars",5,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,11," Germany"
"677",2009,"BMW","M6 Convertible","Subcompact Cars",5,"Automatic (S7)","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,11," Germany"
"678",2009,"Mercedes-Benz","CLK550","Subcompact Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,15,22,17,82,10," Germany"
"679",2009,"Mercedes-Benz","CLK550 (Cabriolet)","Subcompact Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,15,21,17,81,9," Germany"
"680",2009,"BMW","M3","Compact Cars",4,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,93,12," Germany"
"681",2009,"BMW","M3","Compact Cars",4,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,93,12," Germany"
"682",2009,"Dodge","Challenger","Compact Cars",6.1,"Automatic 5-spd","8","Rear-Wheel Drive","Regular",FALSE,FALSE,TRUE,13,19,15,91,16," Italy/ United States"
"683",2009,"Dodge","Challenger","Compact Cars",6.1,"Manual 6-spd","8","Rear-Wheel Drive","Regular",FALSE,FALSE,TRUE,14,22,16,91,16," Italy/ United States"
"684",2009,"Mercedes-Benz","C63 AMG","Compact Cars",6.2,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,19,15,88,12," Germany"
"685",2009,"Mercedes-Benz","CL550 4matic","Compact Cars",5.5,"Automatic 7-spd","8","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,17,91,14," Germany"
"686",2009,"Mercedes-Benz","CL600","Compact Cars",5.5,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,11,17,13,91,14," Germany"
"687",2009,"Mercedes-Benz","CL63 AMG","Compact Cars",6.2,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,18,14,91,14," Germany"
"688",2009,"Mercedes-Benz","CL65 AMG","Compact Cars",5.5,"Automatic (S5)","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,11,17,13,91,14," Germany"
"689",2009,"Audi","S6","Midsize Cars",5.2,"Automatic (S6)","10","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,19,16,98,16," Germany"
"690",2009,"Audi","S8","Midsize Cars",5.2,"Automatic (S6)","10","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,100,15," Germany"
"691",2009,"BMW","M5","Midsize Cars",5,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,99,14," Germany"
"692",2009,"BMW","M5","Midsize Cars",5,"Automatic (S7)","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,99,14," Germany"
"693",2009,"Ferrari","612 Scaglietti","Midsize Cars",5.7,"Manual 6-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,10,15,12,105,6," Italy/ United States"
"694",2009,"Ferrari","612 Scaglietti","Midsize Cars",5.7,"Automatic 6-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,9,16,11,105,6," Italy/ United States"
"695",2009,"Mercedes-Benz","E550 4matic","Midsize Cars",5.5,"Automatic 5-spd","8","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,16,97,14," Germany"
"696",2009,"Mercedes-Benz","E63 AMG","Midsize Cars",6.2,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,20,15,97,14," Germany"
